State,Month,Year,stateBirths,StateName
19,7,1992,6041,Iowa
19,8,1992,6050,Iowa
19,9,1992,6501,Iowa
19,10,1992,6324,Iowa
19,11,1992,5858,Iowa
19,12,1992,6197,Iowa
20,1,1992,1395,Kansas
20,2,1992,1262,Kansas
20,3,1992,1345,Kansas
20,4,1992,1344,Kansas
20,5,1992,1388,Kansas
20,6,1992,1422,Kansas
20,7,1992,1435,Kansas
20,8,1992,1393,Kansas
20,9,1992,1291,Kansas
20,10,1992,1339,Kansas
20,11,1992,1230,Kansas
20,12,1992,1213,Kansas
21,1,1992,6476,Kentucky
21,2,1992,6153,Kentucky
21,3,1992,6516,Kentucky
21,4,1992,6462,Kentucky
21,5,1992,6544,Kentucky
21,6,1992,6559,Kentucky
21,7,1992,6899,Kentucky
21,8,1992,6680,Kentucky
21,9,1992,6592,Kentucky
21,10,1992,6501,Kentucky
21,11,1992,6039,Kentucky
21,12,1992,6394,Kentucky
22,1,1992,6996,Louisiana
22,2,1992,6681,Louisiana
22,3,1992,7642,Louisiana
22,4,1992,7347,Louisiana
22,5,1992,7706,Louisiana
22,6,1992,7687,Louisiana
22,7,1992,7708,Louisiana
22,8,1992,7322,Louisiana
22,9,1992,7315,Louisiana
22,10,1992,7180,Louisiana
22,11,1992,6740,Louisiana
22,12,1992,6907,Louisiana
23,1,1992,11781,Maine
23,2,1992,11404,Maine
23,3,1992,12341,Maine
23,4,1992,12062,Maine
23,5,1992,12896,Maine
23,6,1992,12152,Maine
23,7,1992,12978,Maine
23,8,1992,12197,Maine
23,9,1992,12045,Maine
23,10,1992,11703,Maine
23,11,1992,11029,Maine
23,12,1992,11501,Maine
24,1,1992,5275,Maryland
24,2,1992,4994,Maryland
24,3,1992,5551,Maryland
24,4,1992,5603,Maryland
24,5,1992,5939,Maryland
24,6,1992,5553,Maryland
24,7,1992,5861,Maryland
24,8,1992,5668,Maryland
24,9,1992,5650,Maryland
24,10,1992,5345,Maryland
24,11,1992,5037,Maryland
24,12,1992,5131,Maryland
25,1,1992,3508,Massachusetts
25,2,1992,3201,Massachusetts
25,3,1992,3311,Massachusetts
25,4,1992,3233,Massachusetts
25,5,1992,3332,Massachusetts
25,6,1992,3398,Massachusetts
25,7,1992,3823,Massachusetts
25,8,1992,3809,Massachusetts
25,9,1992,3826,Massachusetts
25,10,1992,3785,Massachusetts
25,11,1992,3641,Massachusetts
25,12,1992,3814,Massachusetts
26,1,1992,6130,Michigan
26,2,1992,5841,Michigan
26,3,1992,6211,Michigan
26,4,1992,6381,Michigan
26,5,1992,6512,Michigan
26,6,1992,6481,Michigan
26,7,1992,6785,Michigan
26,8,1992,6636,Michigan
26,9,1992,6709,Michigan
26,10,1992,6431,Michigan
26,11,1992,5967,Michigan
26,12,1992,6217,Michigan
27,1,1992,888,Minnesota
27,2,1992,896,Minnesota
27,3,1992,1038,Minnesota
27,4,1992,1012,Minnesota
27,5,1992,1065,Minnesota
27,6,1992,1004,Minnesota
27,7,1992,988,Minnesota
27,8,1992,939,Minnesota
27,9,1992,976,Minnesota
27,10,1992,883,Minnesota
27,11,1992,848,Minnesota
27,12,1992,935,Minnesota
28,1,1992,2028,Mississippi
28,2,1992,1830,Mississippi
28,3,1992,1920,Mississippi
28,4,1992,2045,Mississippi
28,5,1992,2023,Mississippi
28,6,1992,1987,Mississippi
28,7,1992,2018,Mississippi
28,8,1992,2000,Mississippi
28,9,1992,1897,Mississippi
28,10,1992,1933,Mississippi
28,11,1992,1803,Mississippi
28,12,1992,1913,Mississippi
29,1,1992,1740,Missouri
29,2,1992,1744,Missouri
29,3,1992,1937,Missouri
29,4,1992,1893,Missouri
29,5,1992,1944,Missouri
29,6,1992,1932,Missouri
29,7,1992,1938,Missouri
29,8,1992,2012,Missouri
29,9,1992,1822,Missouri
29,10,1992,1778,Missouri
29,11,1992,1782,Missouri
29,12,1992,1852,Missouri
30,1,1992,1295,Montana
30,2,1992,1204,Montana
30,3,1992,1347,Montana
30,4,1992,1341,Montana
30,5,1992,1413,Montana
30,6,1992,1433,Montana
30,7,1992,1491,Montana
30,8,1992,1382,Montana
30,9,1992,1350,Montana
30,10,1992,1280,Montana
30,11,1992,1174,Montana
30,12,1992,1280,Montana
31,1,1992,9858,Nebraska
31,2,1992,9490,Nebraska
31,3,1992,10099,Nebraska
31,4,1992,9933,Nebraska
31,5,1992,10396,Nebraska
31,6,1992,10324,Nebraska
31,7,1992,10711,Nebraska
31,8,1992,10215,Nebraska
31,9,1992,9950,Nebraska
31,10,1992,10102,Nebraska
31,11,1992,9311,Nebraska
31,12,1992,9520,Nebraska
32,1,1992,2298,Nevada
32,2,1992,2061,Nevada
32,3,1992,2336,Nevada
32,4,1992,2319,Nevada
32,5,1992,2413,Nevada
32,6,1992,2376,Nevada
32,7,1992,2433,Nevada
32,8,1992,2390,Nevada
32,9,1992,2402,Nevada
32,10,1992,2389,Nevada
32,11,1992,2180,Nevada
32,12,1992,2325,Nevada
33,1,1992,23868,New Hampshire
33,2,1992,22383,New Hampshire
33,3,1992,24373,New Hampshire
33,4,1992,23861,New Hampshire
33,5,1992,24815,New Hampshire
33,6,1992,24418,New Hampshire
33,7,1992,25540,New Hampshire
33,8,1992,24537,New Hampshire
33,9,1992,23972,New Hampshire
33,10,1992,24053,New Hampshire
33,11,1992,22452,New Hampshire
33,12,1992,23615,New Hampshire
34,1,1992,8884,New Jersey
34,2,1992,8149,New Jersey
34,3,1992,8513,New Jersey
34,4,1992,8326,New Jersey
34,5,1992,8567,New Jersey
34,6,1992,8736,New Jersey
34,7,1992,9081,New Jersey
34,8,1992,8877,New Jersey
34,9,1992,8772,New Jersey
34,10,1992,8811,New Jersey
34,11,1992,8410,New Jersey
34,12,1992,8841,New Jersey
35,1,1992,711,New Mexico
35,2,1992,691,New Mexico
35,3,1992,780,New Mexico
35,4,1992,730,New Mexico
35,5,1992,765,New Mexico
35,6,1992,715,New Mexico
35,7,1992,777,New Mexico
35,8,1992,749,New Mexico
35,9,1992,779,New Mexico
35,10,1992,715,New Mexico
35,11,1992,709,New Mexico
35,12,1992,690,New Mexico
36,1,1992,13184,New York
36,2,1992,12733,New York
36,3,1992,13741,New York
36,4,1992,13331,New York
36,5,1992,13834,New York
36,6,1992,13609,New York
36,7,1992,14568,New York
36,8,1992,13836,New York
36,9,1992,13751,New York
36,10,1992,13626,New York
36,11,1992,12864,New York
36,12,1992,13170,New York
37,1,1992,3959,North Carolina
37,2,1992,3777,North Carolina
37,3,1992,3896,North Carolina
37,4,1992,3895,North Carolina
37,5,1992,3913,North Carolina
37,6,1992,3953,North Carolina
37,7,1992,4307,North Carolina
37,8,1992,4130,North Carolina
37,9,1992,4099,North Carolina
37,10,1992,3979,North Carolina
37,11,1992,3665,North Carolina
37,12,1992,3984,North Carolina
38,1,1992,3424,North Dakota
38,2,1992,3255,North Dakota
38,3,1992,3529,North Dakota
38,4,1992,3734,North Dakota
38,5,1992,3696,North Dakota
38,6,1992,3618,North Dakota
38,7,1992,3731,North Dakota
38,8,1992,3597,North Dakota
38,9,1992,3451,North Dakota
38,10,1992,3392,North Dakota
38,11,1992,3226,North Dakota
38,12,1992,3382,North Dakota
39,1,1992,13392,Ohio
39,2,1992,12774,Ohio
39,3,1992,13771,Ohio
39,4,1992,13621,Ohio
39,5,1992,14189,Ohio
39,6,1992,13856,Ohio
39,7,1992,14743,Ohio
39,8,1992,14227,Ohio
39,9,1992,13932,Ohio
39,10,1992,13732,Ohio
39,11,1992,12951,Ohio
39,12,1992,13437,Ohio
40,1,1992,1187,Oklahoma
40,2,1992,1140,Oklahoma
40,3,1992,1253,Oklahoma
40,4,1992,1229,Oklahoma
40,5,1992,1236,Oklahoma
40,6,1992,1295,Oklahoma
40,7,1992,1346,Oklahoma
40,8,1992,1212,Oklahoma
40,9,1992,1197,Oklahoma
40,10,1992,1179,Oklahoma
40,11,1992,1069,Oklahoma
40,12,1992,1157,Oklahoma
41,1,1992,4765,Oregon
41,2,1992,4286,Oregon
41,3,1992,4606,Oregon
41,4,1992,4596,Oregon
41,5,1992,4506,Oregon
41,6,1992,4520,Oregon
41,7,1992,5025,Oregon
41,8,1992,4906,Oregon
41,9,1992,4752,Oregon
41,10,1992,4802,Oregon
41,11,1992,4617,Oregon
41,12,1992,4811,Oregon
42,1,1992,921,Pennsylvania
42,2,1992,849,Pennsylvania
42,3,1992,954,Pennsylvania
42,4,1992,968,Pennsylvania
42,5,1992,934,Pennsylvania
42,6,1992,917,Pennsylvania
42,7,1992,946,Pennsylvania
42,8,1992,955,Pennsylvania
42,9,1992,942,Pennsylvania
42,10,1992,969,Pennsylvania
42,11,1992,818,Pennsylvania
42,12,1992,845,Pennsylvania
43,1,1992,6169,
43,2,1992,5727,
43,3,1992,6008,
43,4,1992,5814,
43,5,1992,6173,
43,6,1992,6083,
43,7,1992,6666,
43,8,1992,6287,
43,9,1992,6390,
43,10,1992,6145,
43,11,1992,5934,
43,12,1992,6218,
44,1,1992,26190,Rhode Island
44,2,1992,24285,Rhode Island
44,3,1992,25803,Rhode Island
44,4,1992,25371,Rhode Island
44,5,1992,25661,Rhode Island
44,6,1992,26430,Rhode Island
44,7,1992,28540,Rhode Island
44,8,1992,27873,Rhode Island
44,9,1992,28296,Rhode Island
44,10,1992,28300,Rhode Island
44,11,1992,26128,Rhode Island
44,12,1992,27968,Rhode Island
45,1,1992,2984,South Carolina
45,2,1992,2850,South Carolina
45,3,1992,3257,South Carolina
45,4,1992,3172,South Carolina
45,5,1992,3304,South Carolina
45,6,1992,3332,South Carolina
45,7,1992,3283,South Carolina
45,8,1992,3139,South Carolina
45,9,1992,3098,South Carolina
45,10,1992,3069,South Carolina
45,11,1992,2748,South Carolina
45,12,1992,2964,South Carolina
46,1,1992,644,South Dakota
46,2,1992,613,South Dakota
46,3,1992,676,South Dakota
46,4,1992,706,South Dakota
46,5,1992,704,South Dakota
46,6,1992,707,South Dakota
46,7,1992,660,South Dakota
46,8,1992,623,South Dakota
46,9,1992,615,South Dakota
46,10,1992,582,South Dakota
46,11,1992,627,South Dakota
46,12,1992,580,South Dakota
47,1,1992,8034,Tennessee
47,2,1992,7496,Tennessee
47,3,1992,8199,Tennessee
47,4,1992,7911,Tennessee
47,5,1992,8302,Tennessee
47,6,1992,8167,Tennessee
47,7,1992,8594,Tennessee
47,8,1992,8298,Tennessee
47,9,1992,8229,Tennessee
47,10,1992,8091,Tennessee
47,11,1992,7720,Tennessee
47,12,1992,8157,Tennessee
48,1,1992,6309,Texas
48,2,1992,6180,Texas
48,3,1992,6857,Texas
48,4,1992,6711,Texas
48,5,1992,7342,Texas
48,6,1992,6811,Texas
48,7,1992,6979,Texas
48,8,1992,6816,Texas
48,9,1992,6647,Texas
48,10,1992,6364,Texas
48,11,1992,6038,Texas
48,12,1992,6396,Texas
49,1,1992,1805,Utah
49,2,1992,1683,Utah
49,3,1992,1850,Utah
49,4,1992,1816,Utah
49,5,1992,1872,Utah
49,6,1992,1839,Utah
49,7,1992,2001,Utah
49,8,1992,1933,Utah
49,9,1992,1869,Utah
49,10,1992,1882,Utah
49,11,1992,1766,Utah
49,12,1992,1854,Utah
50,1,1992,5635,Vermont
50,2,1992,5397,Vermont
50,3,1992,5872,Vermont
50,4,1992,6104,Vermont
50,5,1992,6244,Vermont
50,6,1992,6091,Vermont
50,7,1992,6410,Vermont
50,8,1992,6082,Vermont
50,9,1992,6057,Vermont
50,10,1992,5753,Vermont
50,11,1992,5313,Vermont
50,12,1992,5712,Vermont
51,1,1992,521,Virginia
51,2,1992,520,Virginia
51,3,1992,558,Virginia
51,4,1992,629,Virginia
51,5,1992,621,Virginia
51,6,1992,608,Virginia
51,7,1992,583,Virginia
51,8,1992,576,Virginia
51,9,1992,579,Virginia
51,10,1992,507,Virginia
51,11,1992,518,Virginia
51,12,1992,503,Virginia
1,1,1993,5130,Alabama
1,2,1993,4737,Alabama
1,3,1993,5255,Alabama
1,4,1993,4844,Alabama
1,5,1993,4995,Alabama
1,6,1993,5041,Alabama
1,7,1993,5494,Alabama
1,8,1993,5569,Alabama
1,9,1993,5484,Alabama
1,10,1993,5062,Alabama
1,11,1993,4846,Alabama
1,12,1993,5249,Alabama
2,1,1993,881,Alaska
2,2,1993,816,Alaska
2,3,1993,971,Alaska
2,4,1993,942,Alaska
2,5,1993,920,Alaska
2,6,1993,950,Alaska
2,7,1993,965,Alaska
2,8,1993,937,Alaska
2,9,1993,996,Alaska
2,10,1993,937,Alaska
2,11,1993,842,Alaska
2,12,1993,916,Alaska
3,1,1993,5600,
3,2,1993,5099,
3,3,1993,5859,
3,4,1993,5552,
3,5,1993,5459,
3,6,1993,5660,
3,7,1993,5889,
3,8,1993,6200,
3,9,1993,6237,
3,10,1993,5970,
3,11,1993,5661,
3,12,1993,5870,
4,1,1993,2792,Arizona
4,2,1993,2609,Arizona
4,3,1993,2842,Arizona
4,4,1993,2654,Arizona
4,5,1993,2816,Arizona
4,6,1993,2838,Arizona
4,7,1993,3139,Arizona
4,8,1993,3069,Arizona
4,9,1993,2980,Arizona
4,10,1993,2819,Arizona
4,11,1993,2703,Arizona
4,12,1993,3028,Arizona
5,1,1993,47343,Arkansas
5,2,1993,43608,Arkansas
5,3,1993,49761,Arkansas
5,4,1993,47323,Arkansas
5,5,1993,47963,Arkansas
5,6,1993,48592,Arkansas
5,7,1993,50914,Arkansas
5,8,1993,51767,Arkansas
5,9,1993,52119,Arkansas
5,10,1993,49941,Arkansas
5,11,1993,47246,Arkansas
5,12,1993,48747,Arkansas
6,1,1993,4267,California
6,2,1993,4109,California
6,3,1993,4762,California
6,4,1993,4606,California
6,5,1993,4770,California
6,6,1993,4663,California
6,7,1993,4845,California
6,8,1993,4662,California
6,9,1993,4527,California
6,10,1993,4506,California
6,11,1993,4013,California
6,12,1993,4292,California
7,1,1993,3652,
7,2,1993,3576,
7,3,1993,4019,
7,4,1993,4036,
7,5,1993,4070,
7,6,1993,4016,
7,7,1993,4082,
7,8,1993,3981,
7,9,1993,4060,
7,10,1993,3873,
7,11,1993,3641,
7,12,1993,3694,
8,1,1993,883,Colorado
8,2,1993,794,Colorado
8,3,1993,897,Colorado
8,4,1993,929,Colorado
8,5,1993,893,Colorado
8,6,1993,895,Colorado
8,7,1993,983,Colorado
8,8,1993,898,Colorado
8,9,1993,821,Colorado
8,10,1993,890,Colorado
8,11,1993,832,Colorado
8,12,1993,853,Colorado
9,1,1993,923,Connecticut
9,2,1993,836,Connecticut
9,3,1993,902,Connecticut
9,4,1993,841,Connecticut
9,5,1993,848,Connecticut
9,6,1993,852,Connecticut
9,7,1993,931,Connecticut
9,8,1993,962,Connecticut
9,9,1993,885,Connecticut
9,10,1993,870,Connecticut
9,11,1993,843,Connecticut
9,12,1993,936,Connecticut
10,1,1993,15930,Delaware
10,2,1993,14797,Delaware
10,3,1993,15949,Delaware
10,4,1993,14874,Delaware
10,5,1993,15609,Delaware
10,6,1993,15310,Delaware
10,7,1993,16651,Delaware
10,8,1993,16710,Delaware
10,9,1993,17349,Delaware
10,10,1993,16451,Delaware
10,11,1993,16011,Delaware
10,12,1993,16896,Delaware
11,1,1993,9209,District Of Columbia
11,2,1993,8509,District Of Columbia
11,3,1993,9426,District Of Columbia
11,4,1993,8598,District Of Columbia
11,5,1993,8982,District Of Columbia
11,6,1993,8922,District Of Columbia
11,7,1993,9641,District Of Columbia
11,8,1993,9824,District Of Columbia
11,9,1993,9745,District Of Columbia
11,10,1993,9157,District Of Columbia
11,11,1993,8929,District Of Columbia
11,12,1993,9680,District Of Columbia
12,1,1993,1587,Florida
12,2,1993,1486,Florida
12,3,1993,1605,Florida
12,4,1993,1618,Florida
12,5,1993,1641,Florida
12,6,1993,1546,Florida
12,7,1993,1639,Florida
12,8,1993,1742,Florida
12,9,1993,1643,Florida
12,10,1993,1681,Florida
12,11,1993,1625,Florida
12,12,1993,1780,Florida
13,1,1993,1356,Georgia
13,2,1993,1354,Georgia
13,3,1993,1476,Georgia
13,4,1993,1464,Georgia
13,5,1993,1527,Georgia
13,6,1993,1575,Georgia
13,7,1993,1506,Georgia
13,8,1993,1492,Georgia
13,9,1993,1546,Georgia
13,10,1993,1393,Georgia
13,11,1993,1375,Georgia
13,12,1993,1376,Georgia
14,1,1993,15060,
14,2,1993,14676,
14,3,1993,16644,
14,4,1993,15840,
14,5,1993,16164,
14,6,1993,16346,
14,7,1993,16787,
14,8,1993,16791,
14,9,1993,16166,
14,10,1993,15755,
14,11,1993,15110,
14,12,1993,15449,
15,1,1993,6947,Hawaii
15,2,1993,6368,Hawaii
15,3,1993,7234,Hawaii
15,4,1993,6781,Hawaii
15,5,1993,7147,Hawaii
15,6,1993,7105,Hawaii
15,7,1993,7576,Hawaii
15,8,1993,7358,Hawaii
15,9,1993,7307,Hawaii
15,10,1993,6862,Hawaii
15,11,1993,6575,Hawaii
15,12,1993,6689,Hawaii
16,1,1993,2968,Idaho
16,2,1993,2932,Idaho
16,3,1993,3306,Idaho
16,4,1993,3264,Idaho
16,5,1993,3374,Idaho
16,6,1993,3113,Idaho
16,7,1993,3313,Idaho
16,8,1993,3273,Idaho
16,9,1993,3296,Idaho
16,10,1993,3032,Idaho
16,11,1993,2946,Idaho
16,12,1993,3009,Idaho
17,1,1993,2918,Illinois
17,2,1993,2917,Illinois
17,3,1993,3236,Illinois
17,4,1993,3260,Illinois
17,5,1993,3151,Illinois
17,6,1993,3199,Illinois
17,7,1993,3207,Illinois
17,8,1993,3225,Illinois
17,9,1993,3242,Illinois
17,10,1993,3007,Illinois
17,11,1993,2884,Illinois
17,12,1993,3160,Illinois
18,1,1993,4240,Indiana
18,2,1993,3942,Indiana
18,3,1993,4490,Indiana
18,4,1993,4271,Indiana
18,5,1993,4424,Indiana
18,6,1993,4400,Indiana
18,7,1993,4780,Indiana
18,8,1993,4650,Indiana
18,9,1993,4600,Indiana
18,10,1993,4444,Indiana
18,11,1993,4279,Indiana
18,12,1993,4480,Indiana
19,1,1993,5706,Iowa
19,2,1993,5323,Iowa
19,3,1993,5609,Iowa
19,4,1993,5094,Iowa
19,5,1993,5512,Iowa
19,6,1993,5755,Iowa
19,7,1993,6221,Iowa
19,8,1993,6202,Iowa
19,9,1993,6064,Iowa
19,10,1993,5983,Iowa
19,11,1993,5895,Iowa
19,12,1993,6038,Iowa
20,1,1993,1149,Kansas
20,2,1993,1169,Kansas
20,3,1993,1366,Kansas
20,4,1993,1324,Kansas
20,5,1993,1350,Kansas
20,6,1993,1290,Kansas
20,7,1993,1374,Kansas
20,8,1993,1328,Kansas
20,9,1993,1249,Kansas
20,10,1993,1191,Kansas
20,11,1993,1141,Kansas
20,12,1993,1134,Kansas
21,1,1993,6091,Kentucky
21,2,1993,5846,Kentucky
21,3,1993,6569,Kentucky
21,4,1993,6077,Kentucky
21,5,1993,6305,Kentucky
21,6,1993,6197,Kentucky
21,7,1993,6600,Kentucky
21,8,1993,6709,Kentucky
21,9,1993,6469,Kentucky
21,10,1993,6326,Kentucky
21,11,1993,5820,Kentucky
21,12,1993,5979,Kentucky
22,1,1993,6774,Louisiana
22,2,1993,6418,Louisiana
22,3,1993,7392,Louisiana
22,4,1993,7163,Louisiana
22,5,1993,7504,Louisiana
22,6,1993,7373,Louisiana
22,7,1993,7421,Louisiana
22,8,1993,7397,Louisiana
22,9,1993,7250,Louisiana
22,10,1993,6939,Louisiana
22,11,1993,6417,Louisiana
22,12,1993,6620,Louisiana
23,1,1993,11327,Maine
23,2,1993,10784,Maine
23,3,1993,12320,Maine
23,4,1993,11974,Maine
23,5,1993,12382,Maine
23,6,1993,12200,Maine
23,7,1993,12240,Maine
23,8,1993,12043,Maine
23,9,1993,11925,Maine
23,10,1993,11259,Maine
23,11,1993,10587,Maine
23,12,1993,10814,Maine
24,1,1993,4871,Maryland
24,2,1993,4806,Maryland
24,3,1993,5691,Maryland
24,4,1993,5555,Maryland
24,5,1993,5802,Maryland
24,6,1993,5664,Maryland
24,7,1993,5741,Maryland
24,8,1993,5668,Maryland
24,9,1993,5480,Maryland
24,10,1993,5401,Maryland
24,11,1993,4905,Maryland
24,12,1993,5064,Maryland
25,1,1993,3467,Massachusetts
25,2,1993,3276,Massachusetts
25,3,1993,3612,Massachusetts
25,4,1993,3143,Massachusetts
25,5,1993,3252,Massachusetts
25,6,1993,3348,Massachusetts
25,7,1993,3758,Massachusetts
25,8,1993,3804,Massachusetts
25,9,1993,3783,Massachusetts
25,10,1993,3577,Massachusetts
25,11,1993,3398,Massachusetts
25,12,1993,3731,Massachusetts
26,1,1993,6080,Michigan
26,2,1993,5717,Michigan
26,3,1993,6492,Michigan
26,4,1993,6181,Michigan
26,5,1993,6303,Michigan
26,6,1993,6413,Michigan
26,7,1993,6691,Michigan
26,8,1993,6546,Michigan
26,9,1993,6471,Michigan
26,10,1993,6230,Michigan
26,11,1993,5900,Michigan
26,12,1993,6229,Michigan
27,1,1993,861,Minnesota
27,2,1993,849,Minnesota
27,3,1993,1009,Minnesota
27,4,1993,969,Minnesota
27,5,1993,1025,Minnesota
27,6,1993,1003,Minnesota
27,7,1993,982,Minnesota
27,8,1993,1047,Minnesota
27,9,1993,948,Minnesota
27,10,1993,903,Minnesota
27,11,1993,857,Minnesota
27,12,1993,912,Minnesota
28,1,1993,1786,Mississippi
28,2,1993,1831,Mississippi
28,3,1993,2072,Mississippi
28,4,1993,1890,Mississippi
