Year,Month,OtherBirths
2008,2008-08-01,6945394
2008,2008-09-01,6847111
2008,2008-10-01,6680175
2008,2008-11-01,6061008
2008,2008-12-01,6623478
2009,2009-01-01,6302680
2009,2009-02-01,5864827
2009,2009-03-01,6430060
2009,2009-04-01,6206552
2009,2009-05-01,6344756
2009,2009-06-01,6375895
2009,2009-07-01,6809056
2009,2009-08-01,6698681
2009,2009-09-01,6745103
2009,2009-10-01,6470380
2009,2009-11-01,5964940
2009,2009-12-01,6364155
2010,2010-01-01,6015022
2010,2010-02-01,5592655
2010,2010-03-01,6245164
2010,2010-04-01,5957657
2010,2010-05-01,6019149
2010,2010-06-01,6131832
2010,2010-07-01,6345383
2010,2010-08-01,6494420
2010,2010-09-01,6521625
2010,2010-10-01,6282983
2010,2010-11-01,6087587
2010,2010-12-01,6320738
2011,2011-01-01,5955522
2011,2011-02-01,5511898
2011,2011-03-01,6088988
2011,2011-04-01,5770259
2011,2011-05-01,5979814
2011,2011-06-01,6173476
2011,2011-07-01,6355932
2011,2011-08-01,6648662
2011,2011-09-01,6402186
2011,2011-10-01,6103013
2011,2011-11-01,5979829
2011,2011-12-01,6094666
2012,2012-01-01,5867245
2012,2012-02-01,5636829
2012,2012-03-01,5986529
2012,2012-04-01,5641798
2012,2012-05-01,6057571
2012,2012-06-01,6009763
2012,2012-07-01,6417414
2012,2012-08-01,6687457
2012,2012-09-01,6345459
2012,2012-10-01,6450161
2012,2012-11-01,6052761
2012,2012-12-01,6033062
2013,2013-01-01,6019069
2013,2013-02-01,5400322
2013,2013-03-01,5912405
2013,2013-04-01,5742935
2013,2013-05-01,6051749
2013,2013-06-01,5854283
2013,2013-07-01,6429694
2013,2013-08-01,6586573
2013,2013-09-01,6310746
2013,2013-10-01,6356183
2013,2013-11-01,5954433
2013,2013-12-01,6288370
2014,2014-01-01,6590347
2014,2014-02-01,6011020
2014,2014-03-01,6493552
2014,2014-04-01,6395748
2014,2014-05-01,6670223
2014,2014-06-01,6522314
2014,2014-07-01,7137994
2014,2014-08-01,7127922
2014,2014-09-01,7051416
2014,2014-10-01,6965014
2014,2014-11-01,6473056
2014,2014-12-01,6920310
2015,2015-01-01,6602817
2015,2015-02-01,6018268
2015,2015-03-01,6608334
2015,2015-04-01,6420215
2015,2015-05-01,6538315
2015,2015-06-01,6593908
2015,2015-07-01,7100221
2015,2015-08-01,7101406
2015,2015-09-01,7039726
2015,2015-10-01,6868669
2015,2015-11-01,6481448
2015,2015-12-01,6806818
