ds,y
1927-12-01,17.66
1928-01-01,17.519999761904764
1928-02-01,17.324210842105263
1928-03-01,18.233181772727274
1928-04-01,19.37099995
1928-05-01,20.004091
1928-06-01,18.985238
1928-07-01,19.155714333333332
1928-08-01,19.793478304347826
1928-09-01,21.173157684210526
1928-10-01,21.60045459090909
1928-11-01,23.099000150000002
1928-12-01,23.14450015
1929-01-01,24.865000136363633
1929-02-01,24.992777833333335
1929-03-01,25.400500049999998
1929-04-01,25.26863627272727
1929-05-01,25.60954559090909
1929-06-01,26.146500049999997
1929-07-01,28.46090909090909
1929-08-01,30.119090772727272
1929-09-01,31.304499800000002
1929-10-01,27.991304434782606
1929-11-01,20.581764999999997
1929-12-01,21.38857142857143
1930-01-01,21.716363545454545
1930-02-01,23.076315789473682
1930-03-01,23.90904785714286
1930-04-01,25.430952476190473
1930-05-01,23.954762
1930-06-01,21.600476142857143
1930-07-01,21.01818168181818
1930-08-01,20.80047619047619
1930-09-01,20.769999952380953
1930-10-01,17.92954559090909
1930-11-01,16.58833322222222
1930-12-01,15.545909
1931-01-01,15.920952380952382
1931-02-01,17.16333322222222
1931-03-01,17.53818177272727
1931-04-01,15.83
1931-05-01,14.286666666666665
1931-06-01,13.836818181818183
1931-07-01,14.347391304347827
1931-08-01,13.886666666666667
1931-09-01,11.89
1931-10-01,10.219047619047618
1931-11-01,10.424736842105263
1931-12-01,8.412727272727272
1932-01-01,8.3255
1932-02-01,8.202105263157895
1932-03-01,8.250454545454545
1932-04-01,6.269523809523809
1932-05-01,5.522380952380952
1932-06-01,4.745
1932-07-01,4.9745
1932-08-01,7.51608695652174
1932-09-01,8.220476190476191
1932-10-01,7.105500000000001
1932-11-01,7.019499999999999
1932-12-01,6.824285714285715
1933-01-01,7.088095238095238
1933-02-01,6.25
1933-03-01,6.20125
1933-04-01,6.870526315789474
1933-05-01,8.86909090909091
1933-06-01,10.422727272727274
1933-07-01,11.2385
1933-08-01,10.671304347826087
1933-09-01,10.597
1933-10-01,9.557142857142857
1933-11-01,9.764
1933-12-01,9.964
1934-01-01,10.56
1934-02-01,11.322777777777778
1934-03-01,10.725714285714286
1934-04-01,10.912857142857142
1934-05-01,9.815454545454545
1934-06-01,9.941428571428572
1934-07-01,9.459047619047618
1934-08-01,9.102608695652174
1934-09-01,8.863157894736842
1934-10-01,8.949545454545454
1934-11-01,9.192631578947369
1934-12-01,9.2485
1935-01-01,9.248636363636363
1935-02-01,8.971666666666668
1935-03-01,8.391428571428571
1935-04-01,8.974761904761905
1935-05-01,9.707727272727272
1935-06-01,10.122
1935-07-01,10.653636363636364
1935-08-01,11.319545454545455
1935-09-01,11.605
1935-10-01,11.897391304347826
1935-11-01,13.04611111111111
1935-12-01,13.072380952380952
1936-01-01,13.769545454545455
1936-02-01,14.567894736842106
1936-03-01,14.859090909090908
1936-04-01,14.845714285714285
1936-05-01,14.088571428571429
1936-06-01,14.693636363636363
1936-07-01,15.533913086956522
1936-08-01,15.866666714285714
1936-09-01,16.010476142857144
1936-10-01,16.868095380952383
1936-11-01,17.352221999999998
1936-12-01,17.069090909090907
1937-01-01,17.579000049999998
1937-02-01,18.090555444444444
1937-03-01,18.091363545454545
1937-04-01,17.001818181818184
1937-05-01,16.235
1937-06-01,15.640454590909092
1937-07-01,16.542381095238095
1937-08-01,16.740000045454547
1937-09-01,14.377619047619048
1937-10-01,12.253499999999999
1937-11-01,11.185263157894738
1937-12-01,10.992173913043478
1938-01-01,11.313333333333333
1938-02-01,11.014736842105263
1938-03-01,10.307391304347826
1938-04-01,9.85
1938-05-01,9.96952380952381
1938-06-01,10.229090909090909
1938-07-01,12.2345
1938-08-01,12.298695652173913
1938-09-01,11.763809523809524
1938-10-01,13.1095
1938-11-01,13.054736842105262
1938-12-01,12.675714285714285
1939-01-01,12.50952380952381
1939-02-01,12.378888888888888
1939-03-01,12.366521739130436
1939-04-01,10.820526315789474
1939-05-01,11.222727272727273
1939-06-01,11.415
1939-07-01,11.731
1939-08-01,11.533043478260868
1939-09-01,12.8075
1939-10-01,12.904285714285715
1939-11-01,12.657
1939-12-01,12.3575
1940-01-01,12.307727272727272
1940-02-01,12.221052631578948
1940-03-01,12.149
1940-04-01,12.265909090909092
1940-05-01,10.552272727272728
1940-06-01,9.663
1940-07-01,9.995909090909091
1940-08-01,10.182272727272727
1940-09-01,10.632
1940-10-01,10.724347826086957
1940-11-01,10.979999999999999
1940-12-01,10.531428571428572
1941-01-01,10.538636363636364
1941-02-01,9.882105263157895
1941-03-01,9.955714285714285
1941-04-01,9.640952380952381
1941-05-01,9.42904761904762
1941-06-01,9.75952380952381
1941-07-01,10.271363636363636
1941-08-01,10.216190476190476
1941-09-01,10.244761904761905
1941-10-01,9.810454545454546
1941-11-01,9.367058823529412
1941-12-01,8.756818181818183
1942-01-01,8.935714285714287
1942-02-01,8.65388888888889
1942-03-01,8.18909090909091
1942-04-01,7.835238095238095
1942-05-01,7.929047619047618
1942-06-01,8.325000000000001
1942-07-01,8.635652173913044
1942-08-01,8.59047619047619
1942-09-01,8.682857142857143
1942-10-01,9.313809523809525
1942-11-01,9.45722222222222
1942-12-01,9.518181818181818
1943-01-01,10.089
1943-02-01,10.678333333333335
1943-03-01,11.065217391304348
1943-04-01,11.450952380952382
1943-05-01,11.894
1943-06-01,12.085
1943-07-01,12.36095238095238
1943-08-01,11.739090909090908
1943-09-01,11.986190476190476
1943-10-01,11.869
1943-11-01,11.332105263157894
1943-12-01,11.480434782608697
1944-01-01,11.848095238095238
1944-02-01,11.7665
