Year,Month,TriStateBirths
2009,2009-11-01,737876
2009,2009-12-01,782274
2010,2010-01-01,752335
2010,2010-02-01,697470
2010,2010-03-01,791458
2010,2010-04-01,773316
2010,2010-05-01,779538
2010,2010-06-01,799002
2010,2010-07-01,827581
2010,2010-08-01,811673
2010,2010-09-01,805638
2010,2010-10-01,795703
2010,2010-11-01,762540
2010,2010-12-01,793272
2011,2011-01-01,751435
2011,2011-02-01,694898
2011,2011-03-01,772348
2011,2011-04-01,739632
2011,2011-05-01,792382
2011,2011-06-01,800402
2011,2011-07-01,818158
2011,2011-08-01,828419
2011,2011-09-01,802314
2011,2011-10-01,771186
2011,2011-11-01,753521
2011,2011-12-01,753832
2012,2012-01-01,740002
2012,2012-02-01,708899
2012,2012-03-01,752892
2012,2012-04-01,725990
2012,2012-05-01,782936
2012,2012-06-01,768284
2012,2012-07-01,802669
2012,2012-08-01,842667
2012,2012-09-01,787250
2012,2012-10-01,790191
2012,2012-11-01,764973
2012,2012-12-01,760037
2013,2013-01-01,756616
2013,2013-02-01,676278
2013,2013-03-01,735748
2013,2013-04-01,730603
2013,2013-05-01,772159
2013,2013-06-01,758543
2013,2013-07-01,810922
2013,2013-08-01,802775
2013,2013-09-01,772415
2013,2013-10-01,778863
2013,2013-11-01,725805
2013,2013-12-01,757468
2014,2014-01-01,758085
2014,2014-02-01,686706
2014,2014-03-01,756337
2014,2014-04-01,735518
2014,2014-05-01,798183
2014,2014-06-01,777438
2014,2014-07-01,838129
2014,2014-08-01,825283
2014,2014-09-01,813957
2014,2014-10-01,788572
2014,2014-11-01,727698
2014,2014-12-01,774891
2015,2015-01-01,745987
2015,2015-02-01,687860
2015,2015-03-01,761875
2015,2015-04-01,751470
2015,2015-05-01,791063
2015,2015-06-01,786272
2015,2015-07-01,822547
2015,2015-08-01,812645
2015,2015-09-01,799368
2015,2015-10-01,783007
2015,2015-11-01,726866
2015,2015-12-01,760494
