,ds,y
245,1999-05-01,95.6
246,1999-06-01,95.7
247,1999-07-01,95.7
248,1999-08-01,95.7
249,1999-09-01,95.7
250,1999-10-01,95.8
251,1999-11-01,95.8
252,1999-12-01,95.8
253,2000-01-01,95.8
254,2000-02-01,95.8
255,2000-03-01,95.9
256,2000-04-01,95.9
257,2000-05-01,95.9
258,2000-06-01,95.9
259,2000-07-01,95.9
260,2000-08-01,96.0
261,2000-09-01,96.0
262,2000-10-01,96.0
263,2000-11-01,96.0
264,2000-12-01,96.0
265,2001-01-01,96.0
266,2001-02-01,96.0
267,2001-03-01,95.9
268,2001-04-01,95.9
269,2001-05-01,95.8
270,2001-06-01,95.8
271,2001-07-01,95.7
272,2001-08-01,95.7
273,2001-09-01,95.5
274,2001-10-01,95.4
275,2001-11-01,95.3
276,2001-12-01,95.1
277,2002-01-01,95.0
278,2002-02-01,94.9
279,2002-03-01,94.7
280,2002-04-01,94.6
281,2002-05-01,94.5
282,2002-06-01,94.4
283,2002-07-01,94.4
284,2002-08-01,94.3
285,2002-09-01,94.3
286,2002-10-01,94.2
287,2002-11-01,94.2
288,2002-12-01,94.2
289,2003-01-01,94.2
290,2003-02-01,94.2
291,2003-03-01,94.2
292,2003-04-01,94.1
293,2003-05-01,94.1
294,2003-06-01,94.1
295,2003-07-01,94.0
296,2003-08-01,94.0
297,2003-09-01,94.0
298,2003-10-01,94.0
299,2003-11-01,94.0
300,2003-12-01,94.0
301,2004-01-01,94.1
302,2004-02-01,94.1
303,2004-03-01,94.1
304,2004-04-01,94.2
305,2004-05-01,94.2
306,2004-06-01,94.3
307,2004-07-01,94.3
308,2004-08-01,94.4
309,2004-09-01,94.4
310,2004-10-01,94.4
311,2004-11-01,94.5
312,2004-12-01,94.5
313,2005-01-01,94.5
314,2005-02-01,94.6
315,2005-03-01,94.6
316,2005-04-01,94.7
317,2005-05-01,94.7
318,2005-06-01,94.7
319,2005-07-01,94.8
320,2005-08-01,94.8
321,2005-09-01,94.8
322,2005-10-01,94.9
323,2005-11-01,94.9
324,2005-12-01,95.0
325,2006-01-01,95.0
326,2006-02-01,95.1
327,2006-03-01,95.1
328,2006-04-01,95.1
329,2006-05-01,95.2
330,2006-06-01,95.2
331,2006-07-01,95.2
332,2006-08-01,95.3
333,2006-09-01,95.3
334,2006-10-01,95.3
335,2006-11-01,95.4
336,2006-12-01,95.4
337,2007-01-01,95.4
338,2007-02-01,95.4
339,2007-03-01,95.4
340,2007-04-01,95.5
341,2007-05-01,95.5
342,2007-06-01,95.5
343,2007-07-01,95.5
344,2007-08-01,95.5
345,2007-09-01,95.4
346,2007-10-01,95.4
347,2007-11-01,95.4
348,2007-12-01,95.3
349,2008-01-01,95.3
350,2008-02-01,95.3
351,2008-03-01,95.2
352,2008-04-01,95.1
353,2008-05-01,95.1
354,2008-06-01,95.0
355,2008-07-01,94.8
356,2008-08-01,94.7
357,2008-09-01,94.6
358,2008-10-01,94.4
359,2008-11-01,94.2
360,2008-12-01,94.0
361,2009-01-01,93.7
362,2009-02-01,93.3
363,2009-03-01,93.0
364,2009-04-01,92.7
365,2009-05-01,92.4
366,2009-06-01,92.1
367,2009-07-01,91.8
368,2009-08-01,91.5
369,2009-09-01,91.2
370,2009-10-01,91.0
371,2009-11-01,90.7
372,2009-12-01,90.6
373,2010-01-01,90.4
374,2010-02-01,90.3
375,2010-03-01,90.3
376,2010-04-01,90.3
377,2010-05-01,90.3
378,2010-06-01,90.3
379,2010-07-01,90.3
380,2010-08-01,90.3
381,2010-09-01,90.3
382,2010-10-01,90.3
383,2010-11-01,90.4
384,2010-12-01,90.4
