ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1994-10-01,491.3021298595565,382.2816904467639,559.0747759011211,491.3021298595565,491.3021298595565,-18.882812122076924,-18.882812122076924,-18.882812122076924,-18.882812122076924,-18.882812122076924,-18.882812122076924,0.0,0.0,0.0,472.41931773747956
1994-11-01,495.997453734839,401.8073832585535,572.0140871091742,495.997453734839,495.997453734839,-3.0568106593383413,-3.0568106593383413,-3.0568106593383413,-3.0568106593383413,-3.0568106593383413,-3.0568106593383413,0.0,0.0,0.0,492.94064307550065
1994-12-01,500.54131554962845,417.9134257110417,589.3784789661619,500.54131554962845,500.54131554962845,3.660711747280909,3.660711747280909,3.660711747280909,3.660711747280909,3.660711747280909,3.660711747280909,0.0,0.0,0.0,504.20202729690936
1995-01-01,508.48445901275085,422.7561773700061,597.5841672528621,508.48445901275085,508.48445901275085,3.4365618226531836,3.4365618226531836,3.4365618226531836,3.4365618226531836,3.4365618226531836,3.4365618226531836,0.0,0.0,0.0,511.921020835404
1995-02-01,516.4276024758732,430.02508820604567,598.9827391396045,516.4276024758732,516.4276024758732,3.285686896938505,3.285686896938505,3.285686896938505,3.285686896938505,3.285686896938505,3.285686896938505,0.0,0.0,0.0,519.7132893728117
1995-03-01,523.6020546361127,419.81314362678734,593.8371282219413,523.6020546361127,523.6020546361127,-22.812771872124983,-22.812771872124983,-22.812771872124983,-22.812771872124983,-22.812771872124983,-22.812771872124983,0.0,0.0,0.0,500.7892827639877
1995-04-01,531.5451980992352,445.3896998234192,607.795504536051,531.5451980992352,531.5451980992352,-4.685435337617929,-4.685435337617929,-4.685435337617929,-4.685435337617929,-4.685435337617929,-4.685435337617929,0.0,0.0,0.0,526.8597627616173
1995-05-01,539.2321111280634,455.0378011096438,628.3106089368229,539.2321111280634,539.2321111280634,5.345953982701318,5.345953982701318,5.345953982701318,5.345953982701318,5.345953982701318,5.345953982701318,0.0,0.0,0.0,544.5780651107647
1995-06-01,550.706683822139,466.2619092012002,635.3618147358782,550.706683822139,550.706683822139,1.8404295874082517,1.8404295874082517,1.8404295874082517,1.8404295874082517,1.8404295874082517,1.8404295874082517,0.0,0.0,0.0,552.5471134095473
1995-07-01,561.8111090099544,492.1199872367797,673.8758948021585,561.8111090099544,561.8111090099544,21.620795477047697,21.620795477047697,21.620795477047697,21.620795477047697,21.620795477047697,21.620795477047697,0.0,0.0,0.0,583.4319044870022
1995-08-01,573.2856817040303,475.90555832069344,648.1504574361129,573.2856817040303,573.2856817040303,-10.547484897353979,-10.547484897353979,-10.547484897353979,-10.547484897353979,-10.547484897353979,-10.547484897353979,0.0,0.0,0.0,562.7381968066762
1995-09-01,584.7602543981061,484.24887691120426,653.6960264091198,584.7602543981061,584.7602543981061,-16.88915434578916,-16.88915434578916,-16.88915434578916,-16.88915434578916,-16.88915434578916,-16.88915434578916,0.0,0.0,0.0,567.8711000523169
1995-10-01,595.8646795859216,477.7663868642216,651.7939354195526,595.8646795859216,595.8646795859216,-27.425541661857302,-27.425541661857302,-27.425541661857302,-27.425541661857302,-27.425541661857302,-27.425541661857302,0.0,0.0,0.0,568.4391379240643
1995-11-01,607.3392522799973,519.6574766009404,692.1832654026828,607.3392522799973,607.3392522799973,-1.3055257847841375,-1.3055257847841375,-1.3055257847841375,-1.3055257847841375,-1.3055257847841375,-1.3055257847841375,0.0,0.0,0.0,606.0337264952132
1995-12-01,621.1415852594866,552.4507482852044,724.5734786560855,621.1415852594866,621.1415852594866,11.398028080140282,11.398028080140282,11.398028080140282,11.398028080140282,11.398028080140282,11.398028080140282,0.0,0.0,0.0,632.539613339627
1996-01-01,635.4039960049591,564.5704306985238,723.5292751928315,635.4039960049591,635.4039960049591,9.56604691894175,9.56604691894175,9.56604691894175,9.56604691894175,9.56604691894175,9.56604691894175,0.0,0.0,0.0,644.9700429239009
1996-02-01,649.6664067504313,575.7289557820893,745.5008922829286,649.6664067504313,649.6664067504313,5.946208084142016,5.946208084142016,5.946208084142016,5.946208084142016,5.946208084142016,5.946208084142016,0.0,0.0,0.0,655.6126148345733
1996-03-01,663.0086619639378,594.848898094536,764.1565098245266,663.0086619639378,663.0086619639378,15.20910168205765,15.20910168205765,15.20910168205765,15.20910168205765,15.20910168205765,15.20910168205765,0.0,0.0,0.0,678.2177636459954
1996-04-01,677.2710727094102,591.6826154867135,756.4821168430376,677.2710727094102,677.2710727094102,-1.21863145690203,-1.21863145690203,-1.21863145690203,-1.21863145690203,-1.21863145690203,-1.21863145690203,0.0,0.0,0.0,676.0524412525082
1996-05-01,692.544736971773,599.4793618191231,775.8318926715522,692.544736971773,692.544736971773,-1.8578402729212633,-1.8578402729212633,-1.8578402729212633,-1.8578402729212633,-1.8578402729212633,-1.8578402729212633,0.0,0.0,0.0,690.6868966988517
1996-06-01,708.3275233762142,632.0836999978889,788.841483832635,708.3275233762142,708.3275233762142,0.6348584224402194,0.6348584224402194,0.6348584224402194,0.6348584224402194,0.6348584224402194,0.6348584224402194,0.0,0.0,0.0,708.9623817986544
