trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
5.014724999999999,4.640089072054577,5.571960731960474,5.014724999999999,5.014724999999999,0.0772255036269354,0.0772255036269354,0.0772255036269354,0.0772255036269354,0.0772255036269354,0.0772255036269354,0.0,0.0,0.0,5.091950503626935
5.056308845904823,4.67912310749572,5.56248005234567,5.056308845904823,5.056308845904823,0.047136167384524676,0.047136167384524676,0.047136167384524676,0.047136167384524676,0.047136167384524676,0.047136167384524676,0.0,0.0,0.0,5.103445013289348
5.099278820006474,4.6298789548846075,5.527039169006716,5.099278820006474,5.099278820006474,0.014089883210503716,0.014089883210503716,0.014089883210503716,0.014089883210503716,0.014089883210503716,0.014089883210503716,0.0,0.0,0.0,5.113368703216978
5.140862665911298,4.674546845758385,5.570072175390955,5.140862665911298,5.140862665911298,-0.017585025850223993,-0.017585025850223993,-0.017585025850223993,-0.017585025850223993,-0.017585025850223993,-0.017585025850223993,0.0,0.0,0.0,5.123277640061074
5.183832640012949,4.715255339090196,5.592428925467997,5.183832640012949,5.183832640012949,-0.03532127898871803,-0.03532127898871803,-0.03532127898871803,-0.03532127898871803,-0.03532127898871803,-0.03532127898871803,0.0,0.0,0.0,5.148511361024231
5.2268026141146,4.736775111522019,5.606411293732014,5.2268026141146,5.2268026141146,-0.0701701280815523,-0.0701701280815523,-0.0701701280815523,-0.0701701280815523,-0.0701701280815523,-0.0701701280815523,0.0,0.0,0.0,5.156632486033048
5.265614203625768,4.800731361779901,5.698557585511022,5.265614203625768,5.265614203625768,-0.001148276784537306,-0.001148276784537306,-0.001148276784537306,-0.001148276784537306,-0.001148276784537306,-0.001148276784537306,0.0,0.0,0.0,5.264465926841231
5.308584177575864,4.852375806637045,5.734656242744959,5.308584177575864,5.308584177575864,-0.035915610397645424,-0.035915610397645424,-0.035915610397645424,-0.035915610397645424,-0.035915610397645424,-0.035915610397645424,0.0,0.0,0.0,5.2726685671782185
5.350168023334021,4.883243488255528,5.76627186623291,5.350168023334021,5.350168023334021,-0.03445786447026265,-0.03445786447026265,-0.03445786447026265,-0.03445786447026265,-0.03445786447026265,-0.03445786447026265,0.0,0.0,0.0,5.315710158863759
5.393137997284116,4.90160528964265,5.777009346772311,5.393137997284116,5.393137997284116,-0.05334426889560609,-0.05334426889560609,-0.05334426889560609,-0.05334426889560609,-0.05334426889560609,-0.05334426889560609,0.0,0.0,0.0,5.33979372838851
5.434721843042273,4.919540594882784,5.800875807490482,5.434721843042273,5.434721843042273,-0.0641179701609628,-0.0641179701609628,-0.0641179701609628,-0.0641179701609628,-0.0641179701609628,-0.0641179701609628,0.0,0.0,0.0,5.37060387288131
5.477691816992369,4.9352857554196845,5.847714244940969,5.477691816992369,5.477691816992369,-0.08740575411935374,-0.08740575411935374,-0.08740575411935374,-0.08740575411935374,-0.08740575411935374,-0.08740575411935374,0.0,0.0,0.0,5.390286062873015
5.520661790942464,5.127492594088173,5.993442774859783,5.520661790942464,5.520661790942464,0.044718768051397496,0.044718768051397496,0.044718768051397496,0.044718768051397496,0.044718768051397496,0.044718768051397496,0.0,0.0,0.0,5.565380558993861
5.562245636700621,5.085865430215109,6.051069666954515,5.562245636700621,5.562245636700621,0.018464084977255418,0.018464084977255418,0.018464084977255418,0.018464084977255418,0.018464084977255418,0.018464084977255418,0.0,0.0,0.0,5.580709721677876
5.605215611331647,5.18857706260267,6.059794726129934,5.605215611331647,5.605215611331647,0.008595169864051833,0.008595169864051833,0.008595169864051833,0.008595169864051833,0.008595169864051833,0.008595169864051833,0.0,0.0,0.0,5.613810781195698
5.646799457748768,5.197937172087015,6.077968763516838,5.646799457748768,5.646799457748768,-0.004531936115762995,-0.004531936115762995,-0.004531936115762995,-0.004531936115762995,-0.004531936115762995,-0.004531936115762995,0.0,0.0,0.0,5.642267521633006
5.689769432379793,5.1948625827758175,6.12487489294767,5.689769432379793,5.689769432379793,-0.01810807500003127,-0.01810807500003127,-0.01810807500003127,-0.01810807500003127,-0.01810807500003127,-0.01810807500003127,0.0,0.0,0.0,5.6716613573797625
5.732739407010819,5.2294452530235445,6.142494147082843,5.732739407010819,5.732739407010819,-0.035576263234154894,-0.035576263234154894,-0.035576263234154894,-0.035576263234154894,-0.035576263234154894,-0.035576263234154894,0.0,0.0,0.0,5.697163143776664
5.771550997000133,5.310175314460316,6.209249840931074,5.771550997000133,5.771550997000133,-0.04363352421870185,-0.04363352421870185,-0.04363352421870185,-0.04363352421870185,-0.04363352421870185,-0.04363352421870185,0.0,0.0,0.0,5.727917472781431
5.814520971631158,5.348342073276105,6.242738847211692,5.814520971631158,5.814520971631158,-0.04244281784403943,-0.04244281784403943,-0.04244281784403943,-0.04244281784403943,-0.04244281784403943,-0.04244281784403943,0.0,0.0,0.0,5.772078153787119
5.856104818118649,5.33553352507338,6.230742922742663,5.856104818118649,5.856104818118649,-0.043446185442867116,-0.043446185442867116,-0.043446185442867116,-0.043446185442867116,-0.043446185442867116,-0.043446185442867116,0.0,0.0,0.0,5.812658632675782
5.899074792822389,5.413898462217408,6.284076835550678,5.899074792822389,5.899074792822389,-0.0467928291256107,-0.0467928291256107,-0.0467928291256107,-0.0467928291256107,-0.0467928291256107,-0.0467928291256107,0.0,0.0,0.0,5.852281963696778
