Month,Year,LA_Births
1993-11-01,1993,6417
1993-12-01,1993,6620
1993-01-01,1993,6774
1993-02-01,1993,6418
1993-03-01,1993,7392
1993-04-01,1993,7163
1993-05-01,1993,7504
1993-06-01,1993,7373
1993-07-01,1993,7421
1993-08-01,1993,7397
1993-09-01,1993,7250
1993-10-01,1993,6939
1993-11-01,1993,6417
1993-12-01,1993,6620
1993-01-01,1993,6774
1993-02-01,1993,6418
1993-03-01,1993,7392
1993-04-01,1993,7163
1993-05-01,1993,7504
1993-06-01,1993,7373
1993-07-01,1993,7421
1993-08-01,1993,7397
1993-09-01,1993,7250
1993-10-01,1993,6939
1993-11-01,1993,6417
1993-12-01,1993,6620
1993-01-01,1993,6774
1993-02-01,1993,6418
1993-03-01,1993,7392
1993-04-01,1993,7163
1993-05-01,1993,7504
1993-06-01,1993,7373
1993-07-01,1993,7421
1993-08-01,1993,7397
1993-09-01,1993,7250
1993-10-01,1993,6939
1993-11-01,1993,6417
1993-12-01,1993,6620
1993-01-01,1993,6774
1993-02-01,1993,6418
1993-03-01,1993,7392
1993-04-01,1993,7163
1993-05-01,1993,7504
1993-06-01,1993,7373
1993-07-01,1993,7421
1993-08-01,1993,7397
1993-09-01,1993,7250
1993-10-01,1993,6939
1993-11-01,1993,6417
1993-12-01,1993,6620
1993-01-01,1993,6774
1993-02-01,1993,6418
1993-03-01,1993,7392
1993-04-01,1993,7163
1993-05-01,1993,7504
1993-06-01,1993,7373
1993-07-01,1993,7421
1993-08-01,1993,7397
1993-09-01,1993,7250
1993-10-01,1993,6939
1993-11-01,1993,6417
1993-12-01,1993,6620
1993-01-01,1993,6774
1993-02-01,1993,6418
1993-03-01,1993,7392
1993-04-01,1993,7163
1993-05-01,1993,7504
1993-06-01,1993,7373
1993-07-01,1993,7421
1993-08-01,1993,7397
1993-09-01,1993,7250
1993-10-01,1993,6939
1993-11-01,1993,6417
1993-12-01,1993,6620
1994-01-01,1994,6609
1994-02-01,1994,6329
1994-03-01,1994,7151
1994-04-01,1994,7042
1994-05-01,1994,7375
1994-06-01,1994,7232
1994-07-01,1994,7621
1994-08-01,1994,7395
1994-09-01,1994,6987
1994-10-01,1994,7071
1994-11-01,1994,6334
1994-12-01,1994,6641
1994-01-01,1994,6609
1994-02-01,1994,6329
