ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1990-04-01,5.814520971631158,5.361814364973088,6.2234689043540525,5.814520971631158,5.814520971631158,-0.04244281784403943,-0.04244281784403943,-0.04244281784403943,-0.04244281784403943,-0.04244281784403943,-0.04244281784403943,0.0,0.0,0.0,5.772078153787119
1990-05-01,5.856104818118649,5.371295435261177,6.252573311431182,5.856104818118649,5.856104818118649,-0.043446185442867116,-0.043446185442867116,-0.043446185442867116,-0.043446185442867116,-0.043446185442867116,-0.043446185442867116,0.0,0.0,0.0,5.812658632675782
1990-06-01,5.899074792822389,5.425346981777733,6.301385620936636,5.899074792822389,5.899074792822389,-0.0467928291256107,-0.0467928291256107,-0.0467928291256107,-0.0467928291256107,-0.0467928291256107,-0.0467928291256107,0.0,0.0,0.0,5.852281963696778
1990-07-01,5.940658639309879,5.4456742155140905,6.326009394938341,5.940658639309879,5.940658639309879,-0.04346916290206218,-0.04346916290206218,-0.04346916290206218,-0.04346916290206218,-0.04346916290206218,-0.04346916290206218,0.0,0.0,0.0,5.897189476407816
1990-08-01,5.98362861401362,5.475911510008475,6.381167427809993,5.98362861401362,5.98362861401362,-0.050039475863582664,-0.050039475863582664,-0.050039475863582664,-0.050039475863582664,-0.050039475863582664,-0.050039475863582664,0.0,0.0,0.0,5.933589138150038
1990-09-01,6.026598588717359,5.597773280859225,6.479098429149074,6.026598588717359,6.026598588717359,0.011044106860110883,0.011044106860110883,0.011044106860110883,0.011044106860110883,0.011044106860110883,0.011044106860110883,0.0,0.0,0.0,6.03764269557747
1990-10-01,6.06818243520485,5.618880606156152,6.491762317770932,6.06818243520485,6.06818243520485,-0.009874229275940373,-0.009874229275940373,-0.009874229275940373,-0.009874229275940373,-0.009874229275940373,-0.009874229275940373,0.0,0.0,0.0,6.05830820592891
1990-11-01,6.11115240990859,5.654684774605982,6.559277848929191,6.11115240990859,6.11115240990859,0.003949206972672033,0.003949206972672033,0.003949206972672033,0.003949206972672033,0.003949206972672033,0.003949206972672033,0.0,0.0,0.0,6.115101616881263
1990-12-01,6.15273625624083,5.718337288320268,6.6125452764028765,6.15273625624083,6.15273625624083,0.009139583281792476,0.009139583281792476,0.009139583281792476,0.009139583281792476,0.009139583281792476,0.009139583281792476,0.0,0.0,0.0,6.161875839522623
1991-01-01,6.195706230784145,5.7229866519763215,6.651155800239704,6.195706230784145,6.195706230784145,-0.000691921577063503,-0.000691921577063503,-0.000691921577063503,-0.000691921577063503,-0.000691921577063503,-0.000691921577063503,0.0,0.0,0.0,6.195014309207082
