Year,Month,OtherStates_Births
2008,2008-07-01,7759602
2008,2008-08-01,7723087
2008,2008-09-01,7615883
2008,2008-10-01,7438617
2008,2008-11-01,6741130
2008,2008-12-01,7344447
2009,2009-01-01,7022338
2009,2009-02-01,6540538
2009,2009-03-01,7174218
2009,2009-04-01,6935817
2009,2009-05-01,7100176
2009,2009-06-01,7134010
2009,2009-07-01,7596717
2009,2009-08-01,7450713
2009,2009-09-01,7495194
2009,2009-10-01,7204670
2009,2009-11-01,6639984
2009,2009-12-01,7078233
2010,2010-01-01,6706805
2010,2010-02-01,6234265
2010,2010-03-01,6974306
2010,2010-04-01,6674441
2010,2010-05-01,6741747
2010,2010-06-01,6869394
2010,2010-07-01,7108668
2010,2010-08-01,7239613
2010,2010-09-01,7258791
2010,2010-10-01,7014462
2010,2010-11-01,6786491
2010,2010-12-01,7046210
2011,2011-01-01,6646597
2011,2011-02-01,6150084
2011,2011-03-01,6800808
2011,2011-04-01,6454199
2011,2011-05-01,6713660
2011,2011-06-01,6913182
2011,2011-07-01,7109518
2011,2011-08-01,7407793
2011,2011-09-01,7138296
2011,2011-10-01,6810707
2011,2011-11-01,6670098
2011,2011-12-01,6785174
2012,2012-01-01,6545711
2012,2012-02-01,6286088
2012,2012-03-01,6679013
2012,2012-04-01,6312180
2012,2012-05-01,6780591
2012,2012-06-01,6718023
2012,2012-07-01,7152931
2012,2012-08-01,7461496
2012,2012-09-01,7066649
2012,2012-10-01,7173488
2012,2012-11-01,6755670
2012,2012-12-01,6729295
2013,2013-01-01,6711773
2013,2013-02-01,6021220
2013,2013-03-01,6589533
2013,2013-04-01,6415626
2013,2013-05-01,6763020
2013,2013-06-01,6553990
2013,2013-07-01,7173176
2013,2013-08-01,7321512
2013,2013-09-01,7015913
2013,2013-10-01,7068050
2013,2013-11-01,6617358
2013,2013-12-01,6975374
2014,2014-01-01,7266547
2014,2014-02-01,6624481
2014,2014-03-01,7172939
2014,2014-04-01,7055456
2014,2014-05-01,7392116
2014,2014-06-01,7224422
2014,2014-07-01,7891988
2014,2014-08-01,7869985
2014,2014-09-01,7779228
2014,2014-10-01,7667756
2014,2014-11-01,7121599
2014,2014-12-01,7605741
2015,2015-01-01,7267969
2015,2015-02-01,6633858
2015,2015-03-01,7292044
2015,2015-04-01,7097285
2015,2015-05-01,7254108
2015,2015-06-01,7303185
2015,2015-07-01,7836863
2015,2015-08-01,7826256
2015,2015-09-01,7750879
2015,2015-10-01,7565411
2015,2015-11-01,7128154
2015,2015-12-01,7483207
